19, 65.1, 167772330, 167772329, 11, 11, 17, 24, 23, 17, 14, 0.0910004, 0.584686, 0.0600015, 4.30286e-07, 0, run-1726712721, 0, 0.0190373, 1
22, 65.1, 167772334, 167772333, 11, 11, 17, 25, 23, 16, 15, 0.096, 0.898743, 0.0300017, 3.39333e-07, 0, run-1726712721, 1, 0.0092942, 1
25, 65.1, 167772338, 167772337, 11, 11, 17, 26, 23, 16, 11, 0.0940009, 0.26658, 0.0400017, 4.61909e-07, 0, run-1726712721, 2, 0.0209233, 1
28, 65.1, 167772342, 167772341, 11, 11, 17, 27, 23, 22, 16, 0.0970004, 0.5188, 0.0400017, 3.305e-07, 0, run-1726712721, 3, 0.0236334, 1
35, 65.1, 167772346, 167772345, 11, 11, 17, 28, 23, 21, 22, 0.0990002, 0.55107, 0.0400018, 2.56455e-07, 0, run-1726712721, 4, 0.0053078, 1
42, 65.1, 167772350, 167772349, 11, 11, 17, 29, 23, 19, 19, 0.0969991, 0.119034, 0.0100017, 3.78684e-07, 0, run-1726712721, 5, 0.00282337, 1
49, 65.1, 167772354, 167772353, 11, 11, 17, 30, 23, 28, 28, 0.0989995, 0.890551, 0.0100018, 2.29179e-07, 0, run-1726712721, 6, 0.00356145, 1
56, 65.1, 167772358, 167772357, 11, 11, 17, 31, 23, 9, 17, 0.0990003, 0.313237, 0.0300017, 2.83118e-07, 0, run-1726712721, 7, 0.249238, 1
63, 65.1, 167772362, 167772361, 11, 11, 17, 32, 23, 15, 14, 0.103001, 0.167274, 0.0200018, 1.86643e-07, 0, run-1726712721, 8, 0.00357954, 1
70, 65.1, 167772366, 167772365, 11, 11, 17, 33, 23, 15, 23, 0.107999, 0.193603, 0.0400017, 1.98739e-07, 0, run-1726712721, 9, 0.00820781, 1
77, 65.1, 167772322, 167772321, 14, 20, 17, 23, 21, 26, 14, 0.0963564, 0.00372167, 0.298905, 0.00462604, 0.575758, run-1726712721, 0, 0.437634, -1
78, 65.1, 167772162, 167772161, 14, 14, 17, 21, 0, 10, 11, 0.111, 0.110344, 0.0300019, 1.90909e-08, 0, run-1726712721, 0, 0.00520307, 1
